  TRIG, THRES, RESET,   OUT
  0.75,  0.00,  5.00,  5.00
  0.77,  0.00,  5.00,  5.00
  0.79,  0.00,  5.00,  5.00
  0.81,  0.00,  5.00,  5.00
  0.83,  0.00,  5.00,  5.00
  0.85,  0.00,  5.00,  5.00
  0.87,  0.00,  5.00,  5.00
  0.89,  0.00,  5.00,  5.00
  0.90,  0.00,  5.00,  5.00
  0.93,  0.00,  5.00,  5.00
  0.95,  0.00,  4.99,  5.00
  0.96,  0.00,  5.00,  4.99
  0.98,  0.00,  5.00,  5.00
  1.00,  0.00,  5.00,  5.00
  1.02,  0.00,  5.00,  5.00
  1.04,  0.00,  5.00,  5.00
  1.06,  0.00,  5.00,  5.00
  1.08,  0.00,  5.00,  5.00
  1.10,  0.00,  5.00,  5.00
  1.12,  0.00,  5.00,  5.00
  1.14,  0.00,  5.00,  5.00
  1.16,  0.00,  5.00,  5.00
  1.18,  0.00,  5.00,  5.00
  1.20,  0.00,  5.00,  5.00
  1.22,  0.00,  5.00,  5.00
  1.24,  0.00,  5.00,  5.00
  1.26,  0.00,  5.00,  5.00
  1.28,  0.00,  5.00,  5.00
  1.29,  0.00,  5.00,  5.00
  1.31,  0.00,  5.00,  5.00
  1.33,  0.00,  5.00,  5.00
  1.35,  0.00,  5.00,  5.00
  1.37,  0.00,  5.00,  5.00
  1.39,  0.00,  5.00,  5.00
  1.41,  0.00,  5.00,  5.00
  1.43,  0.00,  5.00,  5.00
  1.45,  0.00,  5.00,  5.00
  1.47,  0.00,  5.00,  5.00
  1.49,  0.00,  5.00,  5.00
  1.51,  0.00,  5.00,  5.00
  1.53,  0.00,  5.00,  5.00
  1.54,  0.00,  5.00,  5.00
  1.57,  0.00,  5.00,  5.00
  1.58,  0.00,  4.99,  5.00
  1.61,  0.00,  5.00,  5.00
  1.62,  0.00,  5.00,  5.00
  1.64,  0.00,  5.00,  5.00
  1.66,  0.00,  5.00,  5.00
  1.68,  0.00,  5.00,  5.00
  1.70,  0.00,  4.99,  4.99
  1.73,  0.00,  5.00,  4.99
  1.74,  0.00,  5.00,  5.00
  1.76,  0.00,  5.00,  5.00
  1.78,  0.00,  5.00,  5.00
  1.80,  0.00,  5.00,  5.00
  1.82,  0.00,  5.00,  5.00
  1.84,  0.00,  5.00,  5.00
  1.86,  0.00,  5.00,  5.00
  1.88,  0.00,  5.00,  5.00
  1.90,  0.00,  5.00,  5.00
  1.92,  0.00,  5.00,  5.00
  1.94,  0.00,  5.00,  5.00
  1.96,  0.00,  5.00,  5.00
  1.97,  0.00,  5.00,  5.00
  1.99,  0.00,  5.00,  5.00
  2.01,  0.00,  5.00,  5.00
  2.03,  0.00,  5.00,  5.00
  2.06,  0.00,  5.00,  5.00
  2.07,  0.00,  5.00,  5.00
  2.09,  0.00,  4.99,  5.00
  2.11,  0.00,  5.00,  5.00
  2.13,  0.00,  5.00,  5.00
  2.15,  0.00,  5.00,  5.00
  2.17,  0.00,  5.00,  5.00
  2.18,  0.00,  5.00,  5.00
  2.21,  0.00,  5.00,  5.00
  2.23,  0.00,  5.00,  5.00
  2.24,  0.00,  5.00,  5.00
  2.27,  0.00,  5.00,  5.00
  2.28,  0.00,  5.00,  5.00
  2.30,  0.00,  5.00,  5.00
  2.32,  0.00,  5.00,  5.00
  2.34,  0.00,  5.00,  5.00
  2.36,  0.00,  5.00,  5.00
  2.38,  0.00,  5.00,  5.00
  2.40,  0.00,  4.99,  5.00
  2.41,  0.00,  5.00,  5.00
  2.44,  0.00,  5.00,  5.00
  2.47,  0.00,  5.00,  5.00
  2.48,  0.00,  4.99,  5.00
  2.49,  0.00,  5.00,  4.99
  2.52,  0.00,  5.00,  5.00
  2.54,  0.00,  5.00,  5.00
  2.56,  0.00,  5.00,  5.00
  2.58,  0.00,  5.00,  5.00
  2.59,  0.00,  5.00,  5.00
  2.61,  0.00,  5.00,  5.00
  2.63,  0.00,  5.00,  5.00
  2.65,  0.00,  5.00,  5.00
  2.67,  0.00,  5.00,  4.99
  2.69,  0.00,  5.00,  5.00
  2.71,  0.00,  5.00,  4.99
  2.73,  0.00,  5.00,  4.99
  2.75,  0.00,  5.00,  5.00
  2.77,  0.00,  5.00,  5.00
  2.79,  0.00,  5.00,  5.00
  2.81,  0.00,  5.00,  5.00
  2.83,  0.00,  5.00,  5.00
  2.84,  0.00,  5.00,  5.00
  2.86,  0.00,  5.00,  5.00
  2.89,  0.00,  5.00,  5.00
  2.90,  0.00,  5.00,  5.00
  2.93,  0.00,  5.00,  5.00
  2.94,  0.00,  5.00,  5.00
  2.97,  0.00,  4.99,  5.00
  2.98,  0.00,  5.00,  5.00
  3.01,  0.00,  5.00,  4.99
  3.03,  0.00,  5.00,  5.00
