  TRIG, THRES, RESET,   OUT
  2.35,  4.99,  2.35,  0.01
  2.33,  5.00,  2.33,  0.01
  2.31,  4.99,  2.31,  0.01
  2.29,  5.00,  2.29,  0.01
  2.27,  5.00,  2.27,  0.01
  2.25,  4.99,  2.25,  0.01
  2.23,  4.99,  2.23,  0.01
  2.21,  4.99,  2.21,  0.01
  2.19,  5.00,  2.19,  0.01
  2.17,  4.99,  2.17,  0.01
  2.15,  4.99,  2.15,  0.01
  2.13,  5.00,  2.13,  0.01
  2.12,  4.99,  2.12,  0.01
  2.10,  5.00,  2.09,  0.01
  2.07,  4.99,  2.08,  0.01
  2.06,  5.00,  2.05,  0.01
  2.04,  5.00,  2.03,  0.01
  2.02,  4.99,  2.01,  0.01
  1.99,  4.99,  2.00,  0.01
  1.97,  4.99,  1.98,  0.01
  1.96,  4.99,  1.96,  0.01
  1.94,  4.99,  1.94,  0.01
  1.92,  4.99,  1.92,  0.01
  1.90,  4.99,  1.90,  0.01
  1.88,  4.99,  1.88,  0.01
  1.86,  4.99,  1.86,  0.01
  1.84,  4.99,  1.84,  0.01
  1.82,  5.00,  1.82,  0.01
  1.80,  5.00,  1.80,  0.01
  1.78,  5.00,  1.79,  0.01
  1.76,  5.00,  1.77,  0.01
  1.74,  5.00,  1.74,  0.01
  1.73,  4.99,  1.73,  0.01
  1.59,  4.98,  1.80,  2.87
  1.70,  4.97,  1.81,  2.98
  1.76,  4.98,  1.66,  3.83
  1.65,  4.99,  1.65,  4.99
  1.63,  4.99,  1.63,  4.98
  1.62,  4.99,  1.61,  4.99
  1.59,  5.00,  1.59,  4.99
  1.58,  4.98,  1.58,  4.99
  1.55,  4.99,  1.56,  4.99
  1.53,  5.00,  1.53,  4.99
  1.52,  4.99,  1.52,  4.99
  1.50,  4.99,  1.50,  4.99
  1.48,  4.98,  1.48,  4.99
  1.46,  4.99,  1.46,  4.99
  1.44,  5.00,  1.44,  4.99
  1.42,  4.99,  1.42,  4.99
  1.40,  4.99,  1.40,  4.99
